compileunits,vmsize,filesize
[section .debug_loc],0,4440152
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/../../../toolchain/llvm-project/libcxxabi/src/cxa_demangle.cpp,94919,883925
../src/script_sys.cpp,535004,32006
../src/gui.cpp,90054,401790
../src/basis/transcoder/basisu_transcoder.cpp,104288,401200
../src/common/main.cpp,36,394112
[section .rodata],376064,376064
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/src/algorithm.cpp,49435,341635
../src/gameobject/gameobject.cpp,56764,315612
[section .text],293088,293088
../src/particle.cpp,47116,257764
../src/opengl/graphics_opengl.cpp,78008,227928
../src/lz4/lz4.c,63310,211056
../src/lz4/lz4hc.c,63025,208123
[section .symtab],0,207936
../src/gamesys/components/comp_gui.cpp,35152,202487
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCollisionWorld.cpp,18152,176290
../src/gamesys/components/comp_sprite.cpp,27252,167548
../src/gamesys/components/comp_model.cpp,25364,159058
../src/render/render.cpp,22088,158467
../src/physics/physics_3d.cpp,17477,157367
../src/dlib/image.cpp,52698,149711
../package/bullet-2.77/src/BulletDynamics/Dynamics/btDiscreteDynamicsWorld.cpp,17156,144631
../src/gui_script.cpp,47976,143994
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btConeTwistConstraint.cpp,14052,142588
../src/script_vmath.cpp,34208,141675
../src/rig.cpp,19468,135416
../src/gamesys/components/comp_mesh.cpp,20512,134380
../src/zip/zip.cpp,43800,131855
../src/render/render_script.cpp,33844,126523
../src/physics/physics_2d.cpp,16588,124219
../src/mbedtls/library/ssl_tls.c,31692,110595
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btQuantizedBvh.cpp,17444,110433
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btSequentialImpulseConstraintSolver.cpp,15476,108584
../src/crash.cpp,106945,13502
../src/graphics.cpp,16488,103550
../src/dlib/hash.cpp,23830,102569
../src/gamesys/components/comp_collision_object.cpp,18416,100933
../src/engine.cpp,18052,95635
../src/input.cpp,17321,94107
../src/gamesys/resources/res_model.cpp,19160,93902
../src/resource.cpp,18792,92497
../src/script.cpp,23811,91657
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,17888,90476
[section .rela.dyn],89808,89808
../src/sound.cpp,19912,86935
../src/gameobject/gameobject_script.cpp,23788,85750
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btGeneric6DofConstraint.cpp,13228,85499
../src/gamesys/components/comp_label.cpp,12500,85376
../src/gamesys/components/comp_tilegrid.cpp,12144,84923
../src/gamesys/scripts/script_resource.cpp,24612,77682
../src/resource_mounts.cpp,13760,76850
../src/render/font_renderer.cpp,14776,76157
../package/bullet-2.77/src/BulletCollision/NarrowPhaseCollision/btGjkEpa2.cpp,12580,75931
[section .strtab],0,75530
[section .debug_ranges],0,72736
../src/gamesys/components/comp_particlefx.cpp,9520,71291
../src/box2d/Box2D/Dynamics/b2World.cpp,13628,71270
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btDbvt.cpp,9712,67426
../src/gamesys/scripts/box2d/script_box2d_body.cpp,14824,62906
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/../../../toolchain/llvm-project/libcxxabi/src/private_typeinfo.cpp,8203,62758
../src/physics/debug_draw_3d.cpp,7896,61911
../src/render/material.cpp,8360,61229
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConvexAlgorithm.cpp,5729,54914
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConcaveCollisionAlgorithm.cpp,6700,54551
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btOverlappingPairCache.cpp,7172,53708
../src/dlib/sys_posix.cpp,6504,51511
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btDbvtBroadphase.cpp,7740,51118
../package/bullet-2.77/src/BulletDynamics/Dynamics/btRigidBody.cpp,3425,50962
../src/gamesys/scripts/script_physics.cpp,14893,50791
[section .debug_str],0,50340
../src/gamesys/components/comp_sound.cpp,7944,49653
../src/gamesys/scripts/script_buffer.cpp,13452,49465
../src/resource_preloader.cpp,9284,49076
